Year,Commodity,Crop,Area,Export,IDR,Import,Production,SSR,Yield
2006,Fruits and Nuts,Apple,378326,5389,3,58,7406,357,20
2006,Plantation,Areca nut,317265,1223,6,336,6400,116,20
2006,Vegetables,Beans,4501,12,3,136,4632,97,1029
2006,Cereals,Buckwheat,21413,0,0,1,9353,100,437
2006,Vegetables,Bulb Onion,822,0,74,1881,646,26,786
2006,Vegetables,Cabbage,2026,126,22,1150,4298,81,2121
2006,Spices,Cardamom,9991,615,0,1,3477,121,348
2006,Vegetables,Cauliflower,600,0,44,634,798,56,1330
2006,Vegetables,Chilli,5971,24,10,1357,11606,90,1944
2006,Spices,Garlic,1519,0,2,20,803,98,529
2006,Spices,Ginger,4425,489,0,19,7571,107,1711
2006,Vegetables,Kidney bean,2908,70,0,0,1279,106,440
2006,Legumes and Pulses,Lentil,178,17,98,1186,47,4,265
2006,Cereals,Maize,75413,0,1,576,71062,99,942
2006,Fruits and Nuts,Mandarin,1353080,16391,0,30,55558,142,41
2006,Legumes and Pulses,Mungbean,1336,0,0,0,549,100,411
2006,Cereals,Mustard,13123,4,56,1577,3706,44,282
2006,Vegetables,Potato,17628,13883,6,3266,68048,118,3860
2006,Cereals,Rice,67566,0,42,34316,74380,58,1101
2006,Legumes and Pulses,Soya bean,3196,11,5,66,1419,96,444
2006,Plantation,Tapioca,1568,0,0,0,1703,100,1086
2006,Vegetables,Tomato,831,0,62,1823,1108,38,1333
2006,Cereals,Wheat,17515,4633,46,7584,9586,104,547
2007,Fruits and Nuts,Apple,278950,3211,1,36,7076,181,25
2007,Plantation,Areca nut,489827,2031,10,532,6569,130,13
2007,Vegetables,Beans,4747,9,4,143,3946,97,831
2007,Cereals,Buckwheat,21700,0,0,2,8105,100,374
2007,Vegetables,Bulb Onion,990,0,52,830,779,48,787
2007,Vegetables,Cabbage,2184,200,3,116,4462,102,2043
2007,Spices,Cardamom,8379,731,0,0,2121,153,253
2007,Vegetables,Cauliflower,582,0,49,618,649,51,1115
2007,Vegetables,Chilli,5288,21,5,428,8368,95,1582
2007,Spices,Garlic,1259,0,5,32,622,95,494
2007,Spices,Ginger,5098,1433,0,12,9870,117,1936
2007,Legumes and Pulses,Kidney bean,4367,56,0,1,1988,103,455
2007,Legumes and Pulses,Lentil,205,16,94,446,42,9,207
2007,Cereals,Maize,71002,0,4,2429,61789,96,870
2007,Fruits and Nuts,Mandarin,2015426,17093,0,26,72071,131,36
2007,Legumes and Pulses,Mungbean,2024,0,0,0,1153,100,570
2007,Cereals,Mustard,14305,4,33,549,3385,67,237
2007,Vegetables,Potato,14782,14397,1,335,61133,130,4136
2007,Cereals,Rice,67564,109,49,46541,74438,51,1102
2007,Legumes and Pulses,Soya bean,4589,6,30,603,1413,70,308
